item,weight,year,month,value,date
Growth of  Cement (%),NA,2024,7,5.5,2024-07-01
Growth of  Fertilizers  (%),NA,2012,4,-14.3,2012-04-01
Growth of  Fertilizers  (%),NA,2012,5,-14.2,2012-05-01
Growth of  Fertilizers  (%),NA,2012,6,-6.5,2012-06-01
Growth of  Fertilizers  (%),NA,2012,7,-0.9,2012-07-01
Growth of  Fertilizers  (%),NA,2012,8,0.1,2012-08-01
Growth of  Fertilizers  (%),NA,2012,9,6.3,2012-09-01
Growth of  Fertilizers  (%),NA,2012,10,2.2,2012-10-01
Growth of  Fertilizers  (%),NA,2012,11,0.5,2012-11-01
Growth of  Fertilizers  (%),NA,2012,12,-3.9,2012-12-01
Growth of  Fertilizers  (%),NA,2013,1,-8.0,2013-01-01
Growth of  Fertilizers  (%),NA,2013,2,-5.6,2013-02-01
Growth of  Fertilizers  (%),NA,2013,3,2.4,2013-03-01
Growth of  Fertilizers  (%),NA,2013,4,3.4,2013-04-01
Growth of  Fertilizers  (%),NA,2013,5,-3.2,2013-05-01
Growth of  Fertilizers  (%),NA,2013,6,0.2,2013-06-01
Growth of  Fertilizers  (%),NA,2013,7,-0.1,2013-07-01
Growth of  Fertilizers  (%),NA,2013,8,1.9,2013-08-01
Growth of  Fertilizers  (%),NA,2013,9,4.2,2013-09-01
Growth of  Fertilizers  (%),NA,2013,10,2.8,2013-10-01
Growth of  Fertilizers  (%),NA,2013,11,-0.5,2013-11-01
Growth of  Fertilizers  (%),NA,2013,12,6.0,2013-12-01
Growth of  Fertilizers  (%),NA,2014,1,5.5,2014-01-01
Growth of  Fertilizers  (%),NA,2014,2,2.5,2014-02-01
Growth of  Fertilizers  (%),NA,2014,3,-5.8,2014-03-01
Growth of  Fertilizers  (%),NA,2014,4,12.9,2014-04-01
Growth of  Fertilizers  (%),NA,2014,5,17.5,2014-05-01
Growth of  Fertilizers  (%),NA,2014,6,4.0,2014-06-01
Growth of  Fertilizers  (%),NA,2014,7,-4.0,2014-07-01
Growth of  Fertilizers  (%),NA,2014,8,-4.9,2014-08-01
Growth of  Fertilizers  (%),NA,2014,9,-9.5,2014-09-01
Growth of  Fertilizers  (%),NA,2014,10,-5.2,2014-10-01
Growth of  Fertilizers  (%),NA,2014,11,2.1,2014-11-01
Growth of  Fertilizers  (%),NA,2014,12,1.9,2014-12-01
Growth of  Fertilizers  (%),NA,2015,1,5.9,2015-01-01
Growth of  Fertilizers  (%),NA,2015,2,1.2,2015-02-01
Growth of  Fertilizers  (%),NA,2015,3,2.4,2015-03-01
Growth of  Fertilizers  (%),NA,2015,4,3.6,2015-04-01
Growth of  Fertilizers  (%),NA,2015,5,2.9,2015-05-01
Growth of  Fertilizers  (%),NA,2015,6,7.1,2015-06-01
Growth of  Fertilizers  (%),NA,2015,7,12.1,2015-07-01
Growth of  Fertilizers  (%),NA,2015,8,11.6,2015-08-01
Growth of  Fertilizers  (%),NA,2015,9,13.7,2015-09-01
Growth of  Fertilizers  (%),NA,2015,10,5.5,2015-10-01
Growth of  Fertilizers  (%),NA,2015,11,0.8,2015-11-01
Growth of  Fertilizers  (%),NA,2015,12,2.3,2015-12-01
Growth of  Fertilizers  (%),NA,2016,1,-0.2,2016-01-01
Growth of  Fertilizers  (%),NA,2016,2,8.6,2016-02-01
Growth of  Fertilizers  (%),NA,2016,3,18.0,2016-03-01
Growth of  Fertilizers  (%),NA,2016,4,-3.0,2016-04-01
Growth of  Fertilizers  (%),NA,2016,5,6.2,2016-05-01
Growth of  Fertilizers  (%),NA,2016,6,5.9,2016-06-01
Growth of  Fertilizers  (%),NA,2016,7,-3.2,2016-07-01
Growth of  Fertilizers  (%),NA,2016,8,2.5,2016-08-01
Growth of  Fertilizers  (%),NA,2016,9,0.3,2016-09-01
Growth of  Fertilizers  (%),NA,2016,10,0.7,2016-10-01
Growth of  Fertilizers  (%),NA,2016,11,4.2,2016-11-01
Growth of  Fertilizers  (%),NA,2016,12,-2.9,2016-12-01
Growth of  Fertilizers  (%),NA,2017,1,-1.2,2017-01-01
Growth of  Fertilizers  (%),NA,2017,2,-4.0,2017-02-01
Growth of  Fertilizers  (%),NA,2017,3,-3.0,2017-03-01
Growth of  Fertilizers  (%),NA,2017,4,6.2,2017-04-01
Growth of  Fertilizers  (%),NA,2017,5,-5.9,2017-05-01
Growth of  Fertilizers  (%),NA,2017,6,-2.7,2017-06-01
Growth of  Fertilizers  (%),NA,2017,7,0.2,2017-07-01
Growth of  Fertilizers  (%),NA,2017,8,-0.6,2017-08-01
Growth of  Fertilizers  (%),NA,2017,9,-7.7,2017-09-01
Growth of  Fertilizers  (%),NA,2017,10,3.0,2017-10-01
Growth of  Fertilizers  (%),NA,2017,11,0.3,2017-11-01
Growth of  Fertilizers  (%),NA,2017,12,3.0,2017-12-01
Growth of  Fertilizers  (%),NA,2018,1,-1.6,2018-01-01
Growth of  Fertilizers  (%),NA,2018,2,5.2,2018-02-01
Growth of  Fertilizers  (%),NA,2018,3,3.2,2018-03-01
Growth of  Fertilizers  (%),NA,2018,4,4.6,2018-04-01
Growth of  Fertilizers  (%),NA,2018,5,8.4,2018-05-01
Growth of  Fertilizers  (%),NA,2018,6,1.0,2018-06-01
Growth of  Fertilizers  (%),NA,2018,7,1.3,2018-07-01
Growth of  Fertilizers  (%),NA,2018,8,-5.3,2018-08-01
Growth of  Fertilizers  (%),NA,2018,9,2.5,2018-09-01
Growth of  Fertilizers  (%),NA,2018,10,-11.5,2018-10-01
Growth of  Fertilizers  (%),NA,2018,11,-8.1,2018-11-01
Growth of  Fertilizers  (%),NA,2018,12,-2.4,2018-12-01
Growth of  Fertilizers  (%),NA,2019,1,10.5,2019-01-01
Growth of  Fertilizers  (%),NA,2019,2,2.5,2019-02-01
Growth of  Fertilizers  (%),NA,2019,3,4.3,2019-03-01
Growth of  Fertilizers  (%),NA,2019,4,-4.4,2019-04-01
Growth of  Fertilizers  (%),NA,2019,5,-1.0,2019-05-01
Growth of  Fertilizers  (%),NA,2019,6,1.5,2019-06-01
Growth of  Fertilizers  (%),NA,2019,7,1.5,2019-07-01
Growth of  Fertilizers  (%),NA,2019,8,2.9,2019-08-01
Growth of  Fertilizers  (%),NA,2019,9,5.4,2019-09-01
Growth of  Fertilizers  (%),NA,2019,10,11.8,2019-10-01
Growth of  Fertilizers  (%),NA,2019,11,13.6,2019-11-01
Growth of  Fertilizers  (%),NA,2019,12,10.2,2019-12-01
Growth of  Fertilizers  (%),NA,2020,1,-0.1,2020-01-01
Growth of  Fertilizers  (%),NA,2020,2,2.9,2020-02-01
Growth of  Fertilizers  (%),NA,2020,3,-11.9,2020-03-01
Growth of  Fertilizers  (%),NA,2020,4,-4.5,2020-04-01
Growth of  Fertilizers  (%),NA,2020,5,7.5,2020-05-01
Growth of  Fertilizers  (%),NA,2020,6,4.2,2020-06-01
Growth of  Fertilizers  (%),NA,2020,7,6.9,2020-07-01
Growth of  Fertilizers  (%),NA,2020,8,7.3,2020-08-01
Growth of  Fertilizers  (%),NA,2020,9,-0.3,2020-09-01
Growth of  Fertilizers  (%),NA,2020,10,6.3,2020-10-01
Growth of  Fertilizers  (%),NA,2020,11,1.6,2020-11-01
Growth of  Fertilizers  (%),NA,2020,12,-2.9,2020-12-01
Growth of  Fertilizers  (%),NA,2021,1,0.8,2021-01-01
Growth of  Fertilizers  (%),NA,2021,2,-3.7,2021-02-01
Growth of  Fertilizers  (%),NA,2021,3,-5.0,2021-03-01
Growth of  Fertilizers  (%),NA,2021,4,3.9,2021-04-01
Growth of  Fertilizers  (%),NA,2021,5,-9.6,2021-05-01
Growth of  Fertilizers  (%),NA,2021,6,2.0,2021-06-01
Growth of  Fertilizers  (%),NA,2021,7,0.6,2021-07-01
Growth of  Fertilizers  (%),NA,2021,8,-3.1,2021-08-01
Growth of  Fertilizers  (%),NA,2021,9,0.04,2021-09-01
Growth of  Fertilizers  (%),NA,2021,10,0.04,2021-10-01
Growth of  Fertilizers  (%),NA,2021,11,2.5,2021-11-01
Growth of  Fertilizers  (%),NA,2021,12,3.5,2021-12-01
Growth of  Fertilizers  (%),NA,2022,1,-2.0,2022-01-01
Growth of  Fertilizers  (%),NA,2022,2,-1.4,2022-02-01
Growth of  Fertilizers  (%),NA,2022,3,15.3,2022-03-01
Growth of  Fertilizers  (%),NA,2022,5,22.9,2022-05-01
Growth of  Fertilizers  (%),NA,2022,6,8.2,2022-06-01
Growth of  Fertilizers  (%),NA,2022,7,6.2,2022-07-01
Growth of  Fertilizers  (%),NA,2022,8,11.9,2022-08-01
Growth of  Fertilizers  (%),NA,2022,9,11.8,2022-09-01
Growth of  Fertilizers  (%),NA,2022,10,5.4,2022-10-01
Growth of  Fertilizers  (%),NA,2022,11,6.4,2022-11-01
Growth of  Fertilizers  (%),NA,2022,12,7.3,2022-12-01
Growth of  Fertilizers  (%),NA,2023,1,17.9,2023-01-01
Growth of  Fertilizers  (%),NA,2023,2,22.2,2023-02-01
Growth of  Fertilizers  (%),NA,2023,3,9.7,2023-03-01
Growth of  Fertilizers  (%),NA,2023,4,23.5,2023-04-01
Growth of  Fertilizers  (%),NA,2023,5,9.7,2023-05-01
Growth of  Fertilizers  (%),NA,2023,6,3.4,2023-06-01
Growth of  Fertilizers  (%),NA,2023,7,3.3,2023-07-01
Growth of  Fertilizers  (%),NA,2023,8,1.8,2023-08-01
Growth of  Fertilizers  (%),NA,2023,9,4.2,2023-09-01
Growth of  Fertilizers  (%),NA,2023,10,5.3,2023-10-01
Growth of  Fertilizers  (%),NA,2023,11,3.4,2023-11-01
Growth of  Fertilizers  (%),NA,2023,12,5.8,2023-12-01
Growth of  Fertilizers  (%),NA,2024,1,-0.6,2024-01-01
Growth of  Fertilizers  (%),NA,2024,2,-9.5,2024-02-01
Growth of  Fertilizers  (%),NA,2024,3,-1.3,2024-03-01
Growth of  Fertilizers  (%),NA,2024,4,-0.8,2024-04-01
Growth of  Fertilizers  (%),NA,2024,5,-1.7,2024-05-01
Growth of  Fertilizers  (%),NA,2024,6,2.4,2024-06-01
Growth of  Fertilizers  (%),NA,2024,7,5.3,2024-07-01
Growth of  Petroleum Refinery Products  (%),NA,2012,4,-1.5,2012-04-01
Growth of  Petroleum Refinery Products  (%),NA,2012,5,3.0,2012-05-01
Growth of  Petroleum Refinery Products  (%),NA,2012,6,4.3,2012-06-01
Growth of  Petroleum Refinery Products  (%),NA,2012,7,7.6,2012-07-01
Growth of  Petroleum Refinery Products  (%),NA,2012,8,6.1,2012-08-01
Growth of  Petroleum Refinery Products  (%),NA,2012,9,9.8,2012-09-01
Growth of  Petroleum Refinery Products  (%),NA,2012,10,18.8,2012-10-01
Growth of  Petroleum Refinery Products  (%),NA,2012,11,5.2,2012-11-01
Growth of  Petroleum Refinery Products  (%),NA,2012,12,7.8,2012-12-01
Growth of  Petroleum Refinery Products  (%),NA,2013,1,11.3,2013-01-01
Growth of  Petroleum Refinery Products  (%),NA,2013,2,8.5,2013-02-01
Growth of  Petroleum Refinery Products  (%),NA,2013,3,5.9,2013-03-01
Growth of  Petroleum Refinery Products  (%),NA,2013,4,5.3,2013-04-01
Growth of  Petroleum Refinery Products  (%),NA,2013,5,5.4,2013-05-01
Growth of  Petroleum Refinery Products  (%),NA,2013,6,1.8,2013-06-01
Growth of  Petroleum Refinery Products  (%),NA,2013,7,3.7,2013-07-01
Growth of  Petroleum Refinery Products  (%),NA,2013,8,5.3,2013-08-01
Growth of  Petroleum Refinery Products  (%),NA,2013,9,8.0,2013-09-01
Growth of  Petroleum Refinery Products  (%),NA,2013,10,-3.8,2013-10-01
Growth of  Petroleum Refinery Products  (%),NA,2013,11,-4.6,2013-11-01
Growth of  Petroleum Refinery Products  (%),NA,2013,12,-1.6,2013-12-01
Growth of  Petroleum Refinery Products  (%),NA,2014,1,-3.5,2014-01-01
Growth of  Petroleum Refinery Products  (%),NA,2014,2,1.0,2014-02-01
Growth of  Petroleum Refinery Products  (%),NA,2014,3,1.3,2014-03-01
Growth of  Petroleum Refinery Products  (%),NA,2014,4,-1.4,2014-04-01
Growth of  Petroleum Refinery Products  (%),NA,2014,5,-0.6,2014-05-01
Growth of  Petroleum Refinery Products  (%),NA,2014,6,1.1,2014-06-01
Growth of  Petroleum Refinery Products  (%),NA,2014,7,-5.4,2014-07-01
Growth of  Petroleum Refinery Products  (%),NA,2014,8,-4.7,2014-08-01
Growth of  Petroleum Refinery Products  (%),NA,2014,9,-1.4,2014-09-01
Growth of  Petroleum Refinery Products  (%),NA,2014,10,3.3,2014-10-01
Growth of  Petroleum Refinery Products  (%),NA,2014,11,7.9,2014-11-01
Growth of  Petroleum Refinery Products  (%),NA,2014,12,3.4,2014-12-01
Growth of  Petroleum Refinery Products  (%),NA,2015,1,2.9,2015-01-01
Growth of  Petroleum Refinery Products  (%),NA,2015,2,-0.2,2015-02-01
Growth of  Petroleum Refinery Products  (%),NA,2015,3,-2.1,2015-03-01
Growth of  Petroleum Refinery Products  (%),NA,2015,4,-4.9,2015-04-01
Growth of  Petroleum Refinery Products  (%),NA,2015,5,5.6,2015-05-01
Growth of  Petroleum Refinery Products  (%),NA,2015,6,5.7,2015-06-01
Growth of  Petroleum Refinery Products  (%),NA,2015,7,8.4,2015-07-01
Growth of  Petroleum Refinery Products  (%),NA,2015,8,7.9,2015-08-01
Growth of  Petroleum Refinery Products  (%),NA,2015,9,-1.0,2015-09-01
Growth of  Petroleum Refinery Products  (%),NA,2015,10,-2.8,2015-10-01
Growth of  Petroleum Refinery Products  (%),NA,2015,11,5.2,2015-11-01
Growth of  Petroleum Refinery Products  (%),NA,2015,12,2.7,2015-12-01
Growth of  Petroleum Refinery Products  (%),NA,2016,1,8.6,2016-01-01
Growth of  Petroleum Refinery Products  (%),NA,2016,2,10.7,2016-02-01
Growth of  Petroleum Refinery Products  (%),NA,2016,3,12.1,2016-03-01
Growth of  Petroleum Refinery Products  (%),NA,2016,4,19.1,2016-04-01
Growth of  Petroleum Refinery Products  (%),NA,2016,5,3.3,2016-05-01
Growth of  Petroleum Refinery Products  (%),NA,2016,6,5.8,2016-06-01
Growth of  Petroleum Refinery Products  (%),NA,2016,7,8.0,2016-07-01
Growth of  Petroleum Refinery Products  (%),NA,2016,8,2.5,2016-08-01
Growth of  Petroleum Refinery Products  (%),NA,2016,9,6.9,2016-09-01
Growth of  Petroleum Refinery Products  (%),NA,2016,10,12.6,2016-10-01
Growth of  Petroleum Refinery Products  (%),NA,2016,11,-0.7,2016-11-01
Growth of  Petroleum Refinery Products  (%),NA,2016,12,5.4,2016-12-01
Growth of  Petroleum Refinery Products  (%),NA,2017,1,0.0,2017-01-01
Growth of  Petroleum Refinery Products  (%),NA,2017,2,-2.8,2017-02-01
Growth of  Petroleum Refinery Products  (%),NA,2017,3,2.0,2017-03-01
Growth of  Petroleum Refinery Products  (%),NA,2017,4,0.2,2017-04-01
Growth of  Petroleum Refinery Products  (%),NA,2017,5,5.4,2017-05-01
Growth of  Petroleum Refinery Products  (%),NA,2017,6,-0.2,2017-06-01
Growth of  Petroleum Refinery Products  (%),NA,2017,7,-2.7,2017-07-01
Growth of  Petroleum Refinery Products  (%),NA,2017,8,2.4,2017-08-01
Growth of  Petroleum Refinery Products  (%),NA,2017,9,8.1,2017-09-01
Growth of  Petroleum Refinery Products  (%),NA,2017,10,7.5,2017-10-01
Growth of  Petroleum Refinery Products  (%),NA,2017,11,8.2,2017-11-01
Growth of  Petroleum Refinery Products  (%),NA,2017,12,6.6,2017-12-01
Growth of  Petroleum Refinery Products  (%),NA,2018,1,11.0,2018-01-01
Growth of  Petroleum Refinery Products  (%),NA,2018,2,7.8,2018-02-01
Growth of  Petroleum Refinery Products  (%),NA,2018,3,1.1,2018-03-01
Growth of  Petroleum Refinery Products  (%),NA,2018,4,2.7,2018-04-01
Growth of  Petroleum Refinery Products  (%),NA,2018,5,4.9,2018-05-01
Growth of  Petroleum Refinery Products  (%),NA,2018,6,12.1,2018-06-01
Growth of  Petroleum Refinery Products  (%),NA,2018,7,12.3,2018-07-01
Growth of  Petroleum Refinery Products  (%),NA,2018,8,5.1,2018-08-01
Growth of  Petroleum Refinery Products  (%),NA,2018,9,2.5,2018-09-01
Growth of  Petroleum Refinery Products  (%),NA,2018,10,1.3,2018-10-01
Growth of  Petroleum Refinery Products  (%),NA,2018,11,2.3,2018-11-01
Growth of  Petroleum Refinery Products  (%),NA,2018,12,-4.8,2018-12-01
Growth of  Petroleum Refinery Products  (%),NA,2019,1,-2.6,2019-01-01
Growth of  Petroleum Refinery Products  (%),NA,2019,2,-0.8,2019-02-01
Growth of  Petroleum Refinery Products  (%),NA,2019,3,4.3,2019-03-01
Growth of  Petroleum Refinery Products  (%),NA,2019,4,4.3,2019-04-01
Growth of  Petroleum Refinery Products  (%),NA,2019,5,-1.5,2019-05-01
Growth of  Petroleum Refinery Products  (%),NA,2019,6,-9.3,2019-06-01
Growth of  Petroleum Refinery Products  (%),NA,2019,7,-0.9,2019-07-01
Growth of  Petroleum Refinery Products  (%),NA,2019,8,2.6,2019-08-01
Growth of  Petroleum Refinery Products  (%),NA,2019,9,-6.6,2019-09-01
Growth of  Petroleum Refinery Products  (%),NA,2019,10,0.4,2019-10-01
Growth of  Petroleum Refinery Products  (%),NA,2019,11,3.1,2019-11-01
Growth of  Petroleum Refinery Products  (%),NA,2019,12,3.0,2019-12-01
Growth of  Petroleum Refinery Products  (%),NA,2020,1,1.9,2020-01-01
Growth of  Petroleum Refinery Products  (%),NA,2020,2,7.4,2020-02-01
Growth of  Petroleum Refinery Products  (%),NA,2020,3,-0.5,2020-03-01
Growth of  Petroleum Refinery Products  (%),NA,2020,4,-24.2,2020-04-01
Growth of  Petroleum Refinery Products  (%),NA,2020,5,-21.3,2020-05-01
Growth of  Petroleum Refinery Products  (%),NA,2020,6,-8.9,2020-06-01
Growth of  Petroleum Refinery Products  (%),NA,2020,7,-13.9,2020-07-01
Growth of  Petroleum Refinery Products  (%),NA,2020,8,-19.1,2020-08-01
Growth of  Petroleum Refinery Products  (%),NA,2020,9,-9.5,2020-09-01
Growth of  Petroleum Refinery Products  (%),NA,2020,10,-17.0,2020-10-01
Growth of  Petroleum Refinery Products  (%),NA,2020,11,-4.8,2020-11-01
Growth of  Petroleum Refinery Products  (%),NA,2020,12,-2.8,2020-12-01
Growth of  Petroleum Refinery Products  (%),NA,2021,1,-2.6,2021-01-01
Growth of  Petroleum Refinery Products  (%),NA,2021,2,-10.9,2021-02-01
Growth of  Petroleum Refinery Products  (%),NA,2021,3,-0.7,2021-03-01
Growth of  Petroleum Refinery Products  (%),NA,2021,4,30.9,2021-04-01
Growth of  Petroleum Refinery Products  (%),NA,2021,5,15.3,2021-05-01
Growth of  Petroleum Refinery Products  (%),NA,2021,6,2.4,2021-06-01
Growth of  Petroleum Refinery Products  (%),NA,2021,7,6.7,2021-07-01
Growth of  Petroleum Refinery Products  (%),NA,2021,8,9.1,2021-08-01
Growth of  Petroleum Refinery Products  (%),NA,2021,9,6.0,2021-09-01
Growth of  Petroleum Refinery Products  (%),NA,2021,10,14.4,2021-10-01
Growth of  Petroleum Refinery Products  (%),NA,2021,11,4.3,2021-11-01
Growth of  Petroleum Refinery Products  (%),NA,2021,12,5.9,2021-12-01
Growth of  Petroleum Refinery Products  (%),NA,2022,1,3.7,2022-01-01
Growth of  Petroleum Refinery Products  (%),NA,2022,2,8.8,2022-02-01
Growth of  Petroleum Refinery Products  (%),NA,2022,3,6.1,2022-03-01
Growth of  Petroleum Refinery Products  (%),NA,2022,5,16.7,2022-05-01
Growth of  Petroleum Refinery Products  (%),NA,2022,6,15.1,2022-06-01
Growth of  Petroleum Refinery Products  (%),NA,2022,7,6.2,2022-07-01
Growth of  Petroleum Refinery Products  (%),NA,2022,8,7.0,2022-08-01
Growth of  Petroleum Refinery Products  (%),NA,2022,9,6.6,2022-09-01
Growth of  Petroleum Refinery Products  (%),NA,2022,10,-3.1,2022-10-01
Growth of  Petroleum Refinery Products  (%),NA,2022,11,-9.3,2022-11-01
Growth of  Petroleum Refinery Products  (%),NA,2022,12,3.7,2022-12-01
Growth of  Petroleum Refinery Products  (%),NA,2023,1,4.5,2023-01-01
Growth of  Petroleum Refinery Products  (%),NA,2023,2,3.3,2023-02-01
Growth of  Petroleum Refinery Products  (%),NA,2023,3,1.5,2023-03-01
Growth of  Petroleum Refinery Products  (%),NA,2023,4,-1.5,2023-04-01
Growth of  Petroleum Refinery Products  (%),NA,2023,5,2.8,2023-05-01
Growth of  Petroleum Refinery Products  (%),NA,2023,6,4.6,2023-06-01
Growth of  Petroleum Refinery Products  (%),NA,2023,7,3.6,2023-07-01
Growth of  Petroleum Refinery Products  (%),NA,2023,8,9.5,2023-08-01
Growth of  Petroleum Refinery Products  (%),NA,2023,9,5.5,2023-09-01
Growth of  Petroleum Refinery Products  (%),NA,2023,10,4.2,2023-10-01
Growth of  Petroleum Refinery Products  (%),NA,2023,11,12.4,2023-11-01
Growth of  Petroleum Refinery Products  (%),NA,2023,12,4.0,2023-12-01
Growth of  Petroleum Refinery Products  (%),NA,2024,1,-4.3,2024-01-01
Growth of  Petroleum Refinery Products  (%),NA,2024,2,2.6,2024-02-01
Growth of  Petroleum Refinery Products  (%),NA,2024,3,1.6,2024-03-01
Growth of  Petroleum Refinery Products  (%),NA,2024,4,3.9,2024-04-01
Growth of  Petroleum Refinery Products  (%),NA,2024,5,0.5,2024-05-01
Growth of  Petroleum Refinery Products  (%),NA,2024,6,-1.5,2024-06-01
Growth of  Petroleum Refinery Products  (%),NA,2024,7,6.6,2024-07-01
Index of Crude Oil,NA,2011,4,100.4,2011-04-01
Index of Crude Oil,NA,2011,5,101.9,2011-05-01
Index of Crude Oil,NA,2011,6,99.7,2011-06-01
Index of Crude Oil,NA,2011,7,103.3,2011-07-01
Index of Crude Oil,NA,2011,8,102.3,2011-08-01
Index of Crude Oil,NA,2011,9,98.2,2011-09-01
Index of Crude Oil,NA,2011,10,101.4,2011-10-01
Index of Crude Oil,NA,2011,11,97.1,2011-11-01
Index of Crude Oil,NA,2011,12,100.0,2011-12-01
Index of Crude Oil,NA,2012,1,100.0,2012-01-01
Index of Crude Oil,NA,2012,2,94.4,2012-02-01
Index of Crude Oil,NA,2012,3,101.4,2012-03-01
Index of Crude Oil,NA,2012,4,99.0,2012-04-01
Index of Crude Oil,NA,2012,5,102.4,2012-05-01
Index of Crude Oil,NA,2012,6,98.9,2012-06-01
Index of Crude Oil,NA,2012,7,102.6,2012-07-01
Index of Crude Oil,NA,2012,8,101.7,2012-08-01
Index of Crude Oil,NA,2012,9,96.5,2012-09-01
Index of Crude Oil,NA,2012,10,100.9,2012-10-01
Index of Crude Oil,NA,2012,11,97.9,2012-11-01
Index of Crude Oil,NA,2012,12,101.0,2012-12-01
Index of Crude Oil,NA,2013,1,99.7,2013-01-01
Index of Crude Oil,NA,2013,2,90.6,2013-02-01
Index of Crude Oil,NA,2013,3,101.6,2013-03-01
Index of Crude Oil,NA,2013,4,97.9,2013-04-01
Index of Crude Oil,NA,2013,5,99.8,2013-05-01
Index of Crude Oil,NA,2013,6,98.4,2013-06-01
Index of Crude Oil,NA,2013,7,100.1,2013-07-01
Index of Crude Oil,NA,2013,8,100.2,2013-08-01
Index of Crude Oil,NA,2013,9,97.0,2013-09-01
Index of Crude Oil,NA,2013,10,100.4,2013-10-01
Index of Crude Oil,NA,2013,11,99.1,2013-11-01
Index of Crude Oil,NA,2013,12,102.6,2013-12-01
Index of Crude Oil,NA,2014,1,102.7,2014-01-01
Index of Crude Oil,NA,2014,2,92.3,2014-02-01
Index of Crude Oil,NA,2014,3,100.0,2014-03-01
Index of Crude Oil,NA,2014,4,97.8,2014-04-01
Index of Crude Oil,NA,2014,5,99.5,2014-05-01
Index of Crude Oil,NA,2014,6,98.4,2014-06-01
Index of Crude Oil,NA,2014,7,99.1,2014-07-01
Index of Crude Oil,NA,2014,8,95.3,2014-08-01
Index of Crude Oil,NA,2014,9,95.9,2014-09-01
Index of Crude Oil,NA,2014,10,101.4,2014-10-01
Index of Crude Oil,NA,2014,11,99.0,2014-11-01
Index of Crude Oil,NA,2014,12,101.2,2014-12-01
Index of Crude Oil,NA,2015,1,100.4,2015-01-01
Index of Crude Oil,NA,2015,2,90.6,2015-02-01
Index of Crude Oil,NA,2015,3,101.7,2015-03-01
Index of Crude Oil,NA,2015,4,95.3,2015-04-01
Index of Crude Oil,NA,2015,5,100.3,2015-05-01
Index of Crude Oil,NA,2015,6,97.7,2015-06-01
Index of Crude Oil,NA,2015,7,98.7,2015-07-01
Index of Crude Oil,NA,2015,8,100.6,2015-08-01
Index of Crude Oil,NA,2015,9,95.8,2015-09-01
Index of Crude Oil,NA,2015,10,99.3,2015-10-01
Index of Crude Oil,NA,2015,11,95.8,2015-11-01
Index of Crude Oil,NA,2015,12,97.0,2015-12-01
Index of Crude Oil,NA,2016,1,95.7,2016-01-01
Index of Crude Oil,NA,2016,2,91.2,2016-02-01
Index of Crude Oil,NA,2016,3,96.5,2016-03-01
Index of Crude Oil,NA,2016,4,93.2,2016-04-01
Index of Crude Oil,NA,2016,5,96.9,2016-05-01
Index of Crude Oil,NA,2016,6,93.5,2016-06-01
Index of Crude Oil,NA,2016,7,97.0,2016-07-01
Index of Crude Oil,NA,2016,8,96.6,2016-08-01
Index of Crude Oil,NA,2016,9,91.9,2016-09-01
Index of Crude Oil,NA,2016,10,96.1,2016-10-01
Index of Crude Oil,NA,2016,11,90.6,2016-11-01
Index of Crude Oil,NA,2016,12,96.2,2016-12-01
Index of Crude Oil,NA,2017,1,96.9,2017-01-01
Index of Crude Oil,NA,2017,2,88.1,2017-02-01
Index of Crude Oil,NA,2017,3,97.4,2017-03-01
Index of Crude Oil,NA,2017,4,92.6,2017-04-01
Index of Crude Oil,NA,2017,5,97.6,2017-05-01
Index of Crude Oil,NA,2017,6,94.1,2017-06-01
Index of Crude Oil,NA,2017,7,96.4,2017-07-01
Index of Crude Oil,NA,2017,8,95.1,2017-08-01
Index of Crude Oil,NA,2017,9,92.0,2017-09-01
Index of Crude Oil,NA,2017,10,95.7,2017-10-01
Index of Crude Oil,NA,2017,11,90.8,2017-11-01
Index of Crude Oil,NA,2017,12,94.2,2017-12-01
Index of Crude Oil,NA,2018,1,93.8,2018-01-01
Index of Crude Oil,NA,2018,2,86.1,2018-02-01
Index of Crude Oil,NA,2018,3,95.8,2018-03-01
Index of Crude Oil,NA,2018,4,91.8,2018-04-01
Index of Crude Oil,NA,2018,5,94.8,2018-05-01
Index of Crude Oil,NA,2018,6,90.9,2018-06-01
Index of Crude Oil,NA,2018,7,91.2,2018-07-01
Index of Crude Oil,NA,2018,8,91.6,2018-08-01
Index of Crude Oil,NA,2018,9,88.1,2018-09-01
Index of Crude Oil,NA,2018,10,90.9,2018-10-01
Index of Crude Oil,NA,2018,11,87.6,2018-11-01
Index of Crude Oil,NA,2018,12,90.2,2018-12-01
Index of Crude Oil,NA,2019,1,89.7,2019-01-01
Index of Crude Oil,NA,2019,2,80.8,2019-02-01
Index of Crude Oil,NA,2019,3,89.9,2019-03-01
Index of Crude Oil,NA,2019,4,85.6,2019-04-01
Index of Crude Oil,NA,2019,5,88.2,2019-05-01
Index of Crude Oil,NA,2019,6,84.7,2019-06-01
Index of Crude Oil,NA,2019,7,87.2,2019-07-01
Index of Crude Oil,NA,2019,8,86.6,2019-08-01
Index of Crude Oil,NA,2019,9,83.4,2019-09-01
Index of Crude Oil,NA,2019,10,86.3,2019-10-01
Index of Crude Oil,NA,2019,11,82.4,2019-11-01
Index of Crude Oil,NA,2019,12,83.5,2019-12-01
Index of Crude Oil,NA,2020,1,85.0,2020-01-01
Index of Crude Oil,NA,2020,2,75.6,2020-02-01
Index of Crude Oil,NA,2020,3,85.0,2020-03-01
